Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A Spectral Count	B Spectral Count	C Spectral Count	D Spectral Count	E Spectral Count	A Unique Spectral Count	B Unique Spectral Count	C Unique Spectral Count	D Unique Spectral Count	E Unique Spectral Count	A Total Spectral Count	B Total Spectral Count	C Total Spectral Count	D Total Spectral Count	E Total Spectral Count	A Intensity	B Intensity	C Intensity	D Intensity	E Intensity	Indistinguishable Proteins
sp|A0A075B6S9|KV137_HUMAN	A0A075B6S9	KV137_HUMAN	IGKV1-37	117	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulinn kappa variable 1-37	0.8739	0.9941	1	5	0	5	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	3.1306354E7	3.4280296E7	1.23454584E8	5.897403E7	2.521861E7	sp|P0DSN7|KVD37_HUMAN
sp|A0A087WW87|KV240_HUMAN	A0A087WW87	KV240_HUMAN	IGKV2-40	121	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-40	1.0	0.999	3	17	0	20	2	3	7	4	1	0	0	0	0	0	2	3	7	6	2	2.6642155E8	5.412165E8	1.500298E9	1.0904023E9	5.2658947E8	sp|P01614|KVD40_HUMAN
sp|A0A096LNW5|NT2NR_HUMAN	A0A096LNW5	NT2NR_HUMAN	NOTCH2NLR	274	Homo sapiens	2:Experimental evidence at transcript level	Notch homolog 2 N-terminal-like protein R	0.992	0.999	3	3	0	21	0	0	1	1	1	0	0	0	0	0	3	2	5	4	7	0.0	0.0	1.7515938E7	1.8274756E7	2.4879246E7	
sp|A0A096LP01|SIM26_HUMAN	A0A096LP01	SIM26_HUMAN	SMIM26	95	Homo sapiens	1:Experimental evidence at protein level	Small integral membrane protein 26	1.0	0.999	3	14	14	14	2	2	3	5	2	2	2	3	5	2	2	2	3	5	2	4.4025075E8	1.7663254E8	3.2062733E8	2.245449E8	1.0204776E8	
sp|A0A0A0MS14|HV145_HUMAN	A0A0A0MS14	HV145_HUMAN	IGHV1-45	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 1-45	0.9994	0.999	1	28	28	28	7	5	8	4	4	7	5	8	4	4	7	5	8	4	4	3.1748074E8	4.7443565E8	8.666128E8	4.862631E8	2.4855245E8	
sp|A0A0A6YYK7|TVA19_HUMAN	A0A0A6YYK7	TVA19_HUMAN	TRAV19	116	Homo sapiens	2:Experimental evidence at transcript level	T cell receptor alpha variable 19	0.9754	0.999	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0.0	0.0	2471737.0	0.0	0.0	
sp|A0A0B4J1U3|LV136_HUMAN	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 1-36	0.9764	0.999	2	15	15	15	2	2	6	2	3	2	2	6	2	3	2	2	6	2	3	5.2531034E8	3.338422E8	3.099013E8	2.4696464E8	2.7916477E8	
sp|A0A0B4J1U7|HV601_HUMAN	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	121	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 6-1	1.0	0.999	2	11	11	11	3	2	3	2	1	3	2	3	2	1	3	2	3	2	1	2.4330112E8	2.4593798E8	1.2025599E8	5.5076416E8	2.8454902E8	
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-15	0.9992	0.999	3	27	27	28	6	4	7	6	4	6	4	7	6	4	6	4	8	6	4	1.683835E9	1.6445509E9	1.4718106E9	8.799807E8	1.2212503E9	
sp|A0A0B4J1V1|HV321_HUMAN	A0A0B4J1V1	HV321_HUMAN	IGHV3-21	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-21	0.9998	0.9985	4	3	3	165	0	1	0	0	2	0	1	0	0	2	45	46	25	29	20	0.0	3.8846264E7	0.0	0.0	7427202.0	
sp|A0A0B4J1V2|HV226_HUMAN	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	119	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 2-26	1.0	0.999	3	22	22	22	1	0	7	11	3	1	0	7	11	3	1	0	7	11	3	5.505498E7	0.0	1.26506264E8	2.6401837E8	1.5469867E8	
sp|A0A0B4J1V6|HV373_HUMAN	A0A0B4J1V6	HV373_HUMAN	IGHV3-73	119	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-73	1.0	0.999	3	33	2	34	6	2	11	8	6	0	0	1	0	1	6	2	12	8	6	1.5453037E9	9.563667E8	4.277748E9	3.310889E9	2.679067E9	
sp|A0A0B4J1X5|HV374_HUMAN	A0A0B4J1X5	HV374_HUMAN	IGHV3-74	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-74	0.9872	0.999	4	191	31	192	56	50	28	35	22	12	5	4	6	4	57	50	28	35	22	3.9103803E10	3.5913613E10	7.775412E9	2.7400356E10	4.8244036E10	
sp|A0A0B4J1X8|HV343_HUMAN	A0A0B4J1X8	HV343_HUMAN	IGHV3-43	118	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-43	1.0	0.999	4	19	17	21	2	1	6	5	5	1	1	6	4	5	3	1	6	6	5	2.0703681E9	6.326175E8	1.6329939E9	9.729734E8	2.1082079E9	
sp|A0A0B4J1Y9|HV372_HUMAN	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	119	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-72	1.0	0.999	5	61	60	61	10	6	13	18	14	10	6	12	18	14	10	6	13	18	14	4.0350477E9	2.914036E9	5.754073E9	4.0458166E9	6.5949594E9	
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	8	153	0	153	38	24	24	40	27	0	0	0	0	0	38	24	24	40	27	2.5487354E10	1.3061491E10	1.3191425E10	2.8058337E10	3.7043982E10	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2D9|KVD13_HUMAN	A0A0B4J2D9	KVD13_HUMAN	IGKV1D-13	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1D-13	0.9994	0.999	1	14	0	14	3	2	4	3	2	0	0	0	0	0	3	2	4	3	2	1.3536357E9	1.5983105E9	3.0369093E9	1.0591006E9	9.652495E8	sp|P0DP09|KV113_HUMAN
sp|A0A0B4J2E0|TVBL4_HUMAN	A0A0B4J2E0	TVBL4_HUMAN	TRBV12-4	115	Homo sapiens	1:Experimental evidence at protein level	T cell receptor beta variable 12-4	0.9757	0.999	1	3	0	3	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1.4039062E7	0.0	1.789226E7	1.839651E7	0.0	sp|P01733|TVBL3_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens	1:Experimental evidence at protein level	Protein PIGBOS1	0.9748	0.9989	1	4	4	4	2	1	0	1	0	2	1	0	1	0	2	1	0	1	0	1.7219968E8	1.6647997E8	0.0	8.459706E7	0.0	
sp|A0A0B4J2F2|SIK1B_HUMAN	A0A0B4J2F2	SIK1B_HUMAN	SIK1B	783	Homo sapiens	5:Protein uncertain	Putative serine/threonine-protein kinase SIK1B	0.9579	0.9912	3	3	0	3	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	2.1320004E7	0.0	0.0	1.6800472E8	1.4825316E7	sp|P57059|SIK1_HUMAN
sp|A0A0B4J2H0|HV69D_HUMAN	A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-69D	1.0	0.999	3	7	6	116	0	0	0	6	1	0	0	0	5	1	20	18	29	26	23	0.0	0.0	0.0	3.471608E8	2.16992E7	
sp|A0A0C4DH24|KV621_HUMAN	A0A0C4DH24	KV621_HUMAN	IGKV6-21	114	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 6-21	0.9815	0.999	2	5	3	5	0	0	2	1	2	0	0	1	1	1	0	0	2	1	2	0.0	0.0	2.0650534E7	1.298975E7	1.097237E7	
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-20	0.9481	0.9977	4	1	1	16	0	0	0	1	0	0	0	0	1	0	5	0	4	6	1	0.0	0.0	0.0	2.0336068E7	0.0	
sp|A0A0C4DH29|HV103_HUMAN	A0A0C4DH29	HV103_HUMAN	IGHV1-3	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 1-3	1.0	0.999	4	13	13	123	2	1	2	4	4	2	1	2	4	4	22	19	31	24	27	5.0294547E8	2.1682677E8	1.7433322E7	1.1701554E9	8.42884E8	
sp|A0A0C4DH30|HV316_HUMAN	A0A0C4DH30	HV316_HUMAN	IGHV3-16	117	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-16	0.985	0.9981	2	6	6	6	2	1	1	0	2	2	1	1	0	2	2	1	1	0	2	1.0710194E8	6.70988E7	6729632.0	0.0	1.6512973E8	
sp|A0A0C4DH31|HV118_HUMAN	A0A0C4DH31	HV118_HUMAN	IGHV1-18	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 1-18	1.0	0.999	3	40	40	166	7	8	9	6	10	7	8	9	6	10	32	36	42	29	27	1.4211748E9	5.1307715E9	2.9905021E9	4.2725827E9	3.563647E9	
sp|A0A0C4DH32|HV320_HUMAN	A0A0C4DH32	HV320_HUMAN	IGHV3-20	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-20	1.0	0.999	3	6	6	8	0	0	0	6	0	0	0	0	6	0	1	0	0	7	0	0.0	0.0	0.0	4.196526E8	0.0	
sp|A0A0C4DH33|HV124_HUMAN	A0A0C4DH33	HV124_HUMAN	IGHV1-24	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 1-24	1.0	0.999	3	34	34	35	7	3	8	7	9	7	3	8	7	9	7	3	8	7	10	7.061406E8	2.9749302E8	3.0024173E8	4.688806E8	4.0278454E8	
sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 4-28	0.9903	0.997	2	10	10	10	1	1	3	2	3	1	1	3	2	3	1	1	3	2	3	6.1012308E7	980436.8	1.526892E8	1.682441E8	1.192397E9	
sp|A0A0C4DH35|HV335_HUMAN	A0A0C4DH35	HV335_HUMAN	IGHV3-35	117	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-35	0.9955	0.999	1	32	32	32	8	3	8	8	5	8	3	8	8	5	8	3	8	8	5	2.5551918E9	7.5201984E8	9.977271E9	6.357157E9	1.1526545E10	
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 5-51	1.0	0.999	2	43	43	43	8	4	13	7	11	8	4	13	7	11	8	4	13	7	11	7.756627E8	6.5171526E8	1.8298271E9	1.8430514E9	7.106825E8	
sp|A0A0C4DH39|HV158_HUMAN	A0A0C4DH39	HV158_HUMAN	IGHV1-58	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 1-58	0.9764	0.999	1	4	4	4	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	2.9189516E7	0.0	3.5142036E7	2.1695526E7	1.1077726E8	
sp|A0A0C4DH43|HV70D_HUMAN	A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	119	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 2-70D	1.0	0.999	3	45	8	45	8	7	11	10	9	2	2	3	0	1	8	7	11	10	9	8.6269754E8	1.09342E9	6.74866E8	6.938801E8	8.334507E8	
sp|A0A0C4DH69|KV109_HUMAN	A0A0C4DH69	KV109_HUMAN	IGKV1-9	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1-9	0.5229	0.9636	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	2958435.0	
sp|A0A0C4DH72|KV106_HUMAN	A0A0C4DH72	KV106_HUMAN	IGKV1-6	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1-6	0.9995	0.999	1	8	8	8	2	3	2	0	1	2	3	2	0	1	2	3	2	0	1	2.695473E8	3.1188346E8	3.6349565E8	0.0	0.0	
sp|A0A0G2JMI3|HV692_HUMAN	A0A0G2JMI3	HV692_HUMAN	IGHV1-69-2	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 1-69-2	0.9763	0.999	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0.0	0.0	0.0	1.3900365E7	0.0	
sp|A0A0J9YX35|HV64D_HUMAN	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-64D	0.9822	0.999	3	16	16	24	2	1	5	4	4	2	1	5	4	4	3	2	7	6	6	8.994567E7	1.1663982E8	3.9175958E8	2.8650736E7	7.4697536E8	
sp|A0A0J9YX57|MAB6B_HUMAN	A0A0J9YX57	MAB6B_HUMAN	MAGEB6B	407	Homo sapiens	4:Protein predicted	Melanoma-associated antigen B6B	0.6433	0.9776	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0.0	7.143102E7	0.0	0.0	0.0	
sp|A0A0J9YXX1|HV5X1_HUMAN	A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 5-10-1	0.9764	0.999	1	5	5	5	1	0	1	2	1	1	0	1	2	1	1	0	1	2	1	9.521139E7	0.0	5.0410618E8	3.1291898E8	1.1548064E8	
sp|A0A0U1RQE8|GLYLB_HUMAN	A0A0U1RQE8	GLYLB_HUMAN	GLYATL1B	302	Homo sapiens	3:Protein inferred from homology	Putative glycine N-acyltransferase-like protein 1B	0.9762	0.999	3	1	1	19	0	0	1	0	0	0	0	1	0	0	2	1	4	6	6	0.0	0.0	1.9717022E7	0.0	0.0	
sp|A0A0U1RRE5|NBDY_HUMAN	A0A0U1RRE5	NBDY_HUMAN	NBDY	68	Homo sapiens	1:Experimental evidence at protein level	Negative regulator of P-body association	0.9764	0.999	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0.0	0.0	0.0	2914202.0	0.0	
sp|A0A0U1RRL7|MMPOS_HUMAN	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	71	Homo sapiens	1:Experimental evidence at protein level	Protein MMP24OS	0.9994	0.999	2	15	15	15	2	1	3	3	6	2	1	3	3	6	2	1	3	3	6	6.8566104E7	1.787193E7	2.4941541E8	1.6337576E8	1.18817816E8	
sp|A0A1B0GV96|CHD9N_HUMAN	A0A1B0GV96	CHD9N_HUMAN	CHD9NB	52	Homo sapiens	4:Protein predicted	CHD9 neighbor protein	0.9994	0.999	2	5	5	5	0	0	2	1	2	0	0	2	1	2	0	0	2	1	2	0.0	0.0	3.684664E7	1824048.0	1.0806675E7	
sp|A0A1B0GVM6|CK097_HUMAN	A0A1B0GVM6	CK097_HUMAN	C11orf97	126	Homo sapiens	3:Protein inferred from homology	Uncharacterized protein C11orf97	0.7513	0.9865	1	8	8	8	0	0	2	3	3	0	0	2	3	3	0	0	2	3	3	0.0	0.0	5.3972376E7	1.1648932E9	5.8199108E7	
